algoritmo,tam_bloque,bits_mensaje,p,repeticiones,ok,corregido,detectado,falso_negativo,bits_trama,overhead,us_encode,us_verify
CRC,0,8,0.0001,1000,996,0,4,0,40,4.0,3.27,3.635
CRC,0,8,0.001,1000,966,0,34,0,40,4.0,3.293,3.696
CRC,0,8,0.01,1000,686,0,314,0,40,4.0,3.286,3.624
CRC,0,8,0.05,1000,115,0,885,0,40,4.0,3.307,3.654
CRC,0,8,0.1,1000,19,0,981,0,40,4.0,3.359,3.69
CRC,0,16,0.0001,1000,995,0,5,0,48,2.0,4.518,4.884
CRC,0,16,0.001,1000,960,0,40,0,48,2.0,4.57,4.908
CRC,0,16,0.01,1000,628,0,372,0,48,2.0,4.487,4.863
CRC,0,16,0.05,1000,92,0,908,0,48,2.0,4.546,4.889
CRC,0,16,0.1,1000,6,0,994,0,48,2.0,4.57,4.942
CRC,0,32,0.0001,1000,994,0,6,0,64,1.0,6.695,6.997
CRC,0,32,0.001,1000,943,0,57,0,64,1.0,6.663,6.998
CRC,0,32,0.01,1000,556,0,444,0,64,1.0,6.695,7.051
CRC,0,32,0.05,1000,41,0,959,0,64,1.0,6.654,6.98
CRC,0,32,0.1,1000,0,0,1000,0,64,1.0,6.633,6.951
CRC,0,64,0.0001,1000,987,0,13,0,96,0.5,10.905,11.253
CRC,0,64,0.001,1000,910,0,90,0,96,0.5,10.962,11.286
CRC,0,64,0.01,1000,407,0,593,0,96,0.5,10.928,11.263
CRC,0,64,0.05,1000,3,0,997,0,96,0.5,10.889,11.226
CRC,0,64,0.1,1000,0,0,1000,0,96,0.5,11.012,11.33
CRC,0,128,0.0001,1000,983,0,17,0,160,0.25,19.427,19.763
CRC,0,128,0.001,1000,856,0,144,0,160,0.25,19.534,19.859
CRC,0,128,0.01,1000,213,0,787,0,160,0.25,19.496,19.862
CRC,0,128,0.05,1000,0,0,1000,0,160,0.25,19.509,19.8
CRC,0,128,0.1,1000,0,0,1000,0,160,0.25,19.525,19.861
CRC,0,256,0.0001,1000,970,0,30,0,288,0.125,36.461,36.808
CRC,0,256,0.001,1000,742,0,258,0,288,0.125,36.479,36.758
CRC,0,256,0.01,1000,47,0,953,0,288,0.125,36.494,36.774
CRC,0,256,0.05,1000,0,0,1000,0,288,0.125,36.597,36.913
CRC,0,256,0.1,1000,0,0,1000,0,288,0.125,36.599,36.883
